Run,Sample,patient,x,y,AS_cluster,type
SRR7666505,PT089_P7_E03_S51,PT089,-10.132997,8.745269,3,Normal
SRR7666457,PT089_P7_A02_S2,PT089,-9.565533,7.091165,3,Normal
SRR7666471,PT089_P7_B04_S16,PT089,-10.444381,7.0268583,3,Normal
SRR7666619,PT089_P9_G12_S180,PT089,-10.689715,8.684626,3,Normal
SRR7666604,PT089_P9_F07_S163,PT089,-12.066952,10.57353,3,Normal
SRR7666487,PT089_P7_C08_S32,PT089,-12.530844,12.895528,3,Normal
SRR7666518,PT089_P7_F05_S65,PT089,-9.79024,10.8915615,3,Normal
SRR7666475,PT089_P7_B08_S20,PT089,-9.887399,11.659299,3,Normal
SRR7666543,PT089_P9_A06_S102,PT089,-10.761016,10.143588,3,Normal
SRR7666556,PT089_P9_B07_S115,PT089,-11.463199,10.326638,3,Normal
SRR7666501,PT089_P7_D11_S47,PT089,-11.316839,11.900839,3,Normal
SRR7666548,PT089_P9_A11_S107,PT089,-11.565524,9.16977,3,Normal
SRR7666466,PT089_P7_A11_S11,PT089,-12.068584,2.314069,3,Normal
SRR7666488,PT089_P7_C09_S33,PT089,-10.371513,13.140691,3,Normal
SRR7666542,PT089_P9_A05_S101,PT089,-12.681234,5.231397,3,Normal
SRR7667389,PT039_P121_D01_S325,PT039,-4.3200026,-3.7892427,6,Tumor
SRR7666539,PT089_P9_A02_S98,PT089,4.1340456,4.337748,0,Tumor
SRR7667458,PT039_P10_A12_S204,PT039,14.266453,-5.9722314,1,Tumor
SRR7666571,PT089_P9_C10_S130,PT089,1.2191528,6.308921,0,Tumor
SRR7666508,PT089_P7_E06_S54,PT089,-3.3290389,3.248838,3,Tumor
SRR7667323,PT126_P3_F06_S66,PT126,-10.81775,-0.8508058,6,Tumor
SRR7666546,PT089_P9_A09_S105,PT089,3.2982879,6.1303496,0,Tumor
SRR7667369,PT039_P121_B04_S304,PT039,0.28279075,-1.8257437,3,Tumor
SRR7666482,PT089_P7_C03_S27,PT089,3.7959883,2.8372834,0,Tumor
SRR7666560,PT089_P9_B11_S119,PT089,0.7853387,6.315287,0,Tumor
SRR7667484,PT039_P10_D03_S231,PT039,14.321715,-7.015788,1,Tumor
SRR7667455,PT039_P10_A09_S201,PT039,13.905668,-9.625198,1,Tumor
SRR7666534,PT089_P7_G09_S81,PT089,6.111732,4.4033647,0,Tumor
